GSRN,Turbine_short_name,Turbine_name,Turbine_type,Parent_GSRN,In_service,Out_service,BBR_municipal,Placement,UTM_x,UTM_y,UTM_precision,Capacity_kw,Model,Manufacturer,Rotor_diameter,Navhub_height,Fullload_amount,Fullload_quota,Fullload_datetime,Actor_short_name,Actor_name,Valid_to,Valid_from
570714700000106699,791-153-19855,Bramsnæs Vindmøllelaug,W,,2003-12-16 00:00:00+00:00,,350,LAND,682883.0,6178515.0,10.0,900.0,44707860,44707079,52.0,44.0,0.0,0.0,,NEEY-E,NEAS Energy A/S,2018-03-31 23:00:00,2017-06-30 23:00:00
570714700000106682,791-153-19923,Bramsnæs Vindmøllelaug,W,,2003-12-16 00:00:00+00:00,,350,LAND,682686.0,6178510.0,10.0,900.0,44707860,44707079,52.0,44.0,0.0,0.0,,DANCOM-E,Danske Commodities A/S,2017-03-31 23:00:00,2017-01-01 00:00:00
570714700000005060,791-84-7551,Eckard Hahne,W,,1982-04-27 00:00:00+00:00,,250,LAND,684177.0,6183032.0,10.0,75.0,44707523,44707106,17.0,22.0,2288916.0,1375000.0,2000-01-01 00:00:00+00:00,DANCOM-E,Danske Commodities A/S,2010-12-01 00:00:00,2010-01-01 00:00:00
570714700000004476,791-28-20823,"Karlslunde Centervej 22 A, Højmarken 1",W,,1989-01-20 00:00:00+00:00,,253,LAND,701469.0,6163560.0,10.0,180.0,44707772,44707094,23.2,30.0,3595192.0,4500000.0,2004-12-05 11:00:00+00:00,NEEY-E,NEAS Energy A/S,9999-01-01 00:00:00,2017-09-30 23:00:00
570714700000004469,791-28-20822,"Karlslunde Centervej 22 A, Højmarken 2",W,,1989-01-20 00:00:00+00:00,,253,LAND,701439.0,6163403.0,10.0,180.0,44707772,44707094,23.2,30.0,3646725.0,4500000.0,2004-10-15 20:00:00+00:00,NEEY-E,NEAS Energy A/S,9999-01-01 00:00:00,2017-09-30 23:00:00
570714700000004735,791-44-8014,Niels Eghøj Nielsen,W,,1998-04-06 00:00:00+00:00,,350,LAND,682220.0,6169979.0,10.0,600.0,44707276,44707078,48.0,46.0,4428026.0,7200000.0,2003-06-09 04:00:00+00:00,DANCOM-E,Danske Commodities A/S,2013-01-01 00:00:00,2012-01-01 00:00:00
570714700000004742,791-44-8016,Jens Eghøj Nielsen,W,,1998-04-06 00:00:00+00:00,,350,LAND,682187.0,6169788.0,10.0,600.0,44707276,44707078,48.0,46.0,4086515.0,7200000.0,2003-09-27 04:00:00+00:00,NEEY-E,NEAS Energy A/S,2018-09-30 23:00:00,2016-01-01 00:00:00
570714700000004759,791-44-8018,Lars Eghøj,W,,1998-04-06 00:00:00+00:00,,350,LAND,682163.0,6169589.0,10.0,600.0,44707276,44707078,48.0,46.0,4314364.0,7200000.0,,ENDKAT-E,"Energinet.dk prio.prod, øst",2002-12-31 23:59:59,1998-03-31 23:00:00
570714700000003585,791-81-12485,Svanholm,W,,1990-03-01 00:00:00+00:00,,250,LAND,683466.0,6186047.0,10.0,200.0,44707558,44707078,27.0,30.0,,0.0,2001-01-01 00:00:00+00:00,NEEY-E,NEAS Energy A/S,2016-02-01 00:00:00,2010-12-01 00:00:00
570714700000011825,740-191859,"ØRSTED BYGADE 8, MØLLE 1",W,,1998-12-16 00:00:00+00:00,,265,LAND,693446.467,6159929.851,10.0,599.0,44707913,44707115,46.0,45.0,2343194.0,8985000.0,2007-03-18 19:00:00+00:00,ENDKWP-E,"Energinet.dk, Marked vind prod.",2009-01-31 23:59:59,2008-12-17 00:00:00
570714700000011832,740-191858,"ØRSTED BYGADE 8, MØLLE 2",W,,1998-12-16 00:00:00+00:00,,265,LAND,693606.467,6159825.852,10.0,599.0,44707538,44707115,46.0,45.0,2326544.0,8985000.0,2007-01-08 14:00:00+00:00,NEEY-E,NEAS Energy A/S,9999-01-01 00:00:00,2017-09-30 23:00:00
570714700000005053,791-81-12261,Svanholm Vindmøllelaug I/S,W,,1990-04-20 00:00:00+00:00,,250,LAND,683460.0,6186298.0,10.0,200.0,44707558,44707078,27.0,30.0,3820749.0,5000000.0,2005-01-04 01:00:00+00:00,NEEY-E,NEAS Energy A/S,2016-07-31 23:00:00,2016-02-01 00:00:00
570714700000004520,791-33-8297,Poul Brandstrup,W,,1999-05-10 00:00:00+00:00,,265,LAND,688686.0,6160521.0,10.0,750.0,44707720,44707135,48.0,45.0,1991627.0,9000000.0,2007-01-12 14:00:00+00:00,EGLNORD-E,Axpo Nordic AG,9999-01-01 00:00:00,2019-06-30 23:00:00
570714700000010750,740-184997,SOLRØD VINDKRAFT,W,,1997-07-03 00:00:00+00:00,,269,LAND,700292.442,6160079.862,10.0,300.0,44707425,44707113,31.0,30.5,1676507.0,4500000.0,,ENDKAT-E,"Energinet.dk prio.prod, øst",2002-12-31 23:59:59,1997-07-01 00:00:00
570714700000010767,740-184998,Nordmarksvej,W,,1997-07-01 00:00:00+00:00,,269,LAND,700292.442,6160078.862,10.0,300.0,44707425,44707113,31.0,30.5,1637597.0,4500000.0,2008-10-11 21:00:00+00:00,DANCOM-E,Danske Commodities A/S,2018-07-25 22:59:59,2016-12-01 00:00:00
570714700000004728,791-44-7555,Henrik Nielsen,W,,1987-04-13 00:00:00+00:00,,350,LAND,679150.0,6169634.0,10.0,95.0,44707764,44707084,18.0,24.5,2689033.0,2375000.0,2000-01-01 00:00:00+00:00,EGLNORD-E,Axpo Nordic AG,2016-06-30 23:00:00,2014-04-30 23:00:00
570714700000004704,791-44-7012,Gundested Camping,W,,1982-01-21 00:00:00+00:00,,350,LAND,680400.0,6165440.0,10.0,45.0,44707907,44707113,18.0,20.5,1897500.0,1125000.0,2000-01-01 00:00:00+00:00,NEEY-E,NEAS Energy A/S,9999-01-01 00:00:00,2019-11-01 00:00:00
570714700000012396,740-193715,HENRIK SKJOLD WISSING,W,,1999-08-16 00:00:00+00:00,,329,LAND,685246.496,6160413.836,10.0,600.0,44707284,44707084,44.0,45.0,1867121.0,7200000.0,2006-04-08 12:00:00+00:00,NEEY-E,NEAS Energy A/S,2019-03-31 23:00:00,2018-03-31 23:00:00
570714700000005039,791-81-11859,Ellemosegårds Vindmølle I/S,W,,1985-05-08 00:00:00+00:00,,250,LAND,686766.0,6191490.0,10.0,55.0,44707896,44707106,15.0,22.0,1915832.0,1375000.0,2000-01-01 00:00:00+00:00,NEEY-E,NEAS Energy A/S,2013-01-01 00:00:00,2010-12-01 00:00:00
570714700000009648,740-181300,KØGE VINDMØLLELAUG NR. 1,W,,1994-01-18 00:00:00+00:00,,259,LAND,696018.466,6156963.866,10.0,500.0,44707906,44707113,37.0,35.0,5535304.0,7500000.0,2004-03-19 10:00:00+00:00,NEEY-E,NEAS Energy A/S,2018-03-31 23:00:00,2017-09-30 23:00:00
570714700000009655,740-181301,KØGE VINDMØLLELAUG NR. 2,W,,1994-01-18 00:00:00+00:00,,259,LAND,695995.466,6156831.866,10.0,500.0,44707906,44707113,37.0,35.0,5341374.0,7500000.0,2004-09-15 20:00:00+00:00,ENDKAT-E,"Energinet.dk prio.prod, øst",2004-09-15 19:00:00,2003-01-01 00:00:00
570714700000009945,740-183332,KØGE VINDMØLLELAUG NR. 5,W,,1996-04-10 00:00:00+00:00,,259,LAND,695709.467,6156769.866,10.0,550.0,44707906,44707113,37.0,35.0,3442751.0,8250000.0,2008-08-28 03:00:00+00:00,DANCOM-E,Danske Commodities A/S,2019-01-01 00:00:00,2018-03-31 23:00:00
570714700000009938,740-183331,KØGE VINDMØLLELAUG NR. 4,W,,1996-04-10 00:00:00+00:00,,259,LAND,695829.467,6156735.866,10.0,550.0,44707906,44707113,37.0,35.0,3352458.0,8250000.0,2009-04-19 09:00:00+00:00,EGLNORD-E,Axpo Nordic AG,2017-09-30 23:00:00,2016-09-30 23:00:00
570714700000009662,740-181302,KØGE VINDMØLLELAUG NR 3,W,,1994-01-18 00:00:00+00:00,,259,LAND,695972.467,6156697.866,10.0,500.0,44707906,44707113,37.0,35.0,5358008.0,7500000.0,2004-09-21 17:00:00+00:00,DANCOM-E,Danske Commodities A/S,2016-09-30 23:00:00,2010-07-31 23:00:00
570714700000014284,740-060-00764,Bukkerupvej 109V,W,,2001-12-19 00:00:00+00:00,,316,LAND,676583.5,6164159.0,1.0,660.0,44707220,44707106,47.0,45.0,0.0,7920000.0,2008-09-17 04:00:00+00:00,NEEY-E,NEAS Energy A/S,9999-01-01 00:00:00,2015-08-31 23:00:00
570714700000014291,740-060-00765,Bukkerupvej 109V,W,,2001-12-19 00:00:00+00:00,,316,LAND,676489.5,6163959.0,1.0,660.0,44707220,44707106,47.0,45.0,0.0,7920000.0,2008-09-13 11:00:00+00:00,ENDKAT-E,"Energinet.dk, Tab og aftagepligt prod.",2011-12-20 00:00:00,2007-11-15 00:00:00
570714700000014307,740-060-00766,Bukkerupvej 109V,W,,2001-12-19 00:00:00+00:00,,316,LAND,676397.5,6163759.0,1.0,660.0,44707220,44707106,47.0,45.0,0.0,7920000.0,2008-03-05 20:00:00+00:00,NEEY-E,NEAS Energy A/S,9999-01-01 00:00:00,2019-06-30 23:00:00
570715000000091681,791-91681,Widex vindmølle,W,,2010-07-29 00:00:00+00:00,,201,LAND,707570.0,6193513.0,10.0,2000.0,44707682,44707106,80.0,59.9,,44000000.0,,NEEY-E,NEAS Energy A/S,2014-04-30 23:00:00,2014-01-01 00:00:00
570714700000010897,740-190253,OLE HANSEN,W,,1997-09-26 00:00:00+00:00,,259,LAND,692108.49,6153358.873,10.0,600.0,44707518,44707079,43.0,44.5,3526803.0,7200000.0,2005-04-16 00:00:00+00:00,NEEY-E,NEAS Energy A/S,2019-01-01 00:00:00,2018-09-30 23:00:00
570714700000014314,740-060-00767,Høbjergvej 54V,W,,2001-12-20 00:00:00+00:00,,316,LAND,675095.5,6164705.0,1.0,660.0,44707220,44707106,47.0,45.0,0.0,7920000.0,2008-10-08 14:00:00+00:00,EDK-E,Energi Danmark A/S,2011-03-31 22:59:59,2011-02-01 00:00:00
570714700000014321,740-060-00768,Høbjergvej 54V,W,,2001-12-20 00:00:00+00:00,,316,LAND,675008.5,6164500.0,1.0,660.0,44707220,44707106,47.0,45.0,0.0,7920000.0,2008-10-05 10:00:00+00:00,NEEY-E,NEAS Energy A/S,9999-01-01 00:00:00,2019-06-30 23:00:00
570714700000005091,791-86-6710,Orø 1,W,,1990-12-06 00:00:00+00:00,,316,LAND,674224.0,6185086.0,10.0,200.0,44707476,44707078,27.0,30.0,4322423.0,5000000.0,2003-02-01 19:00:00+00:00,DANCOM-E,Danske Commodities A/S,2016-04-30 22:59:59,2014-04-30 23:00:00
570714700000005503,740-4700490,Roskildevej 264 V,W,,1985-11-21 00:00:00+00:00,,316,LAND,672165.0,6173355.0,1.0,55.0,44707524,44707106,15.0,18.0,1855333.0,1375000.0,2001-03-31 23:59:00+00:00,ENDKWP-E,"Energinet.dk, Marked vind prod.",2011-03-31 22:59:59,2007-11-15 00:00:00
570714700000014338,740-060-00769,Høbjergvej 54V,W,,2001-12-20 00:00:00+00:00,,316,LAND,674918.5,6164301.0,1.0,660.0,44707220,44707106,47.0,50.0,0.0,7920000.0,2008-09-19 00:00:00+00:00,DANCOM-E,Danske Commodities A/S,9999-01-01 00:00:00,2019-11-01 00:00:00
570714700000004995,791-77-7420,Nr. Herlev Ejendom A/S,W,,1984-05-14 00:00:00+00:00,,219,LAND,704527.0,6196297.0,10.0,55.0,44707787,44707106,15.0,22.6,2036832.0,1375000.0,2000-01-01 00:00:00+00:00,ENDKWP-E,"Energinet.dk vind prod, Øst",2003-09-30 22:59:59,2003-01-01 00:00:00
570714700000000379,791-69-12330,Kollerød 1,W,,1993-01-20 00:00:00+00:00,,201,LAND,705674.0,6196241.0,10.0,500.0,44707363,44707106,39.0,40.5,,0.0,,DANCOM-E,Danske Commodities A/S,2016-04-30 22:59:59,2014-04-30 23:00:00
570714700000004940,791-69-12091,Mellemskov Møllelaug I/S,W,,1991-04-23 00:00:00+00:00,,201,LAND,705625.0,6196369.0,10.0,225.0,44707587,44707106,27.0,30.0,4080169.0,3750000.0,2000-01-01 00:00:00+00:00,MAKDK-E,Markedskraft Danmark A/S,2003-12-31 23:59:59,2003-01-01 00:00:00
570715000000128905,791-74115760145,Avedøre Holme 1,W,,2011-09-26 00:00:00+00:00,,167,HAV,717567.0,6167298.0,10.0,3600.0,44707540,44707122,120.0,90.0,,79200000.0,2018-01-02 04:00:00+00:00,DONGTP-E,DONG Energy Thermal Power A/S,9999-01-01 00:00:00,2013-11-01 00:00:00
570714700000000362,791-65-8452,Øllingegård 3,W,,2000-12-20 00:00:00+00:00,,219,LAND,699636.0,6199173.0,10.0,660.0,44707246,44707106,47.0,44.0,,0.0,,DONGP-E,DONG Energy Power A/S,2010-12-01 00:00:00,2007-11-15 00:00:00
570714700000000355,791-65-8450,Øllingegård 2,W,,2000-12-22 00:00:00+00:00,,219,LAND,699610.0,6199331.0,10.0,660.0,44707246,44707106,47.0,44.0,,0.0,,DONGP-E,DONG Energy Power A/S,2007-11-15 00:00:00,2006-01-01 00:00:00
570714700000000348,791-65-8448,Øllingegård 1,W,,2000-12-20 00:00:00+00:00,,219,LAND,699583.0,6199488.0,10.0,660.0,44707246,44707106,47.0,44.0,,0.0,,DONGTP-E,DONG Energy Thermal Power A/S,2013-10-31 23:59:59,2012-05-31 23:00:00
570715000000088643,791-88643,Avedøre Holme 2,W,,2009-11-23 00:00:00+00:00,,167,HAV,718024.0,6167247.0,10.0,3600.0,44707336,44707122,120.0,90.0,0.0,79200000.0,2016-05-11 16:00:00+00:00,NEEY-E,NEAS Energy A/S,9999-01-01 00:00:00,2011-03-31 23:00:00
570715000000088667,791-88667,Avedøre Holme 3,W,,2009-11-23 00:00:00+00:00,,167,HAV,718483.0,6167214.0,10.0,3600.0,44707336,44707122,120.0,90.0,0.0,79200000.0,2016-08-17 19:00:00+00:00,DONGTP-E,DONG Energy Thermal Power A/S,9999-01-01 00:00:00,2013-11-01 00:00:00
570714700000000317,791-62-8398,Nr. Herlev 1,W,,2001-05-14 00:00:00+00:00,,219,LAND,704171.0,6199826.0,10.0,660.0,44707246,44707106,47.0,40.0,0.0,0.0,,DANCOM-E,Danske Commodities A/S,2014-04-30 22:59:59,2013-11-01 00:00:00
570714700000000324,791-62-8400,Nr. Herlev 2,W,,2001-05-14 00:00:00+00:00,,219,LAND,704221.0,6199967.0,10.0,660.0,44707246,44707106,47.0,40.0,0.0,0.0,,DANCOM-E,Danske Commodities A/S,2016-04-30 22:59:59,2014-04-30 23:00:00
570714700000000140,791-19-29773,Avedøre Holme øst 2,W,,2000-05-18 00:00:00+00:00,,167,LAND,719970.0,6167337.0,10.0,660.0,44707246,44707106,47.0,40.0,,12000.0,2001-04-03 19:00:00+00:00,DANCOM-E,Danske Commodities A/S,9999-01-01 00:00:00,2016-04-30 23:00:00
570714700000000157,791-19-29775,"Avedøre Holme, Magasin",W,,2000-05-18 00:00:00+00:00,,167,LAND,720031.0,6167484.0,10.0,660.0,44707246,44707106,47.0,40.0,,12000.0,2001-04-04 11:00:00+00:00,DONGP-E,DONG Energy Power A/S,2002-12-31 23:59:59,2000-04-30 23:00:00
570714700000000331,791-62-8402,Nr. Herlev,W,,2001-05-14 00:00:00+00:00,,219,LAND,704272.0,6200109.0,10.0,660.0,44707246,44707106,47.0,40.0,0.0,7920000.0,,DONGP-E,DONG Energy Power A/S,2002-12-31 23:59:59,2001-05-20 23:00:00
570714700000004384,791-19-29777,A/S Th Wessel & Vett,W,,2000-05-18 00:00:00+00:00,,167,LAND,720096.0,6167633.0,10.0,660.0,44707246,44707106,47.0,40.0,1146105.0,7920000.0,2007-01-11 13:00:00+00:00,ENDKAT-E,"Energinet.dk prio.prod, øst",2006-01-01 00:00:00,2003-01-01 00:00:00
570714700000008450,740-166386,BØSTOFTE MØLLEN,W,,1989-07-03 00:00:00+00:00,,329,LAND,681822.533,6152065.863,10.0,200.0,44707297,44707094,24.0,30.0,3250753.0,5000000.0,,ENDKAT-E,"Energinet.dk prio.prod, øst",2006-08-31 22:59:59,2003-01-01 00:00:00
570714700000013621,740-195389,VINDKRAFT SJÆLLAND,W,,2000-09-25 00:00:00+00:00,,259,LAND,689719.515,6147664.891,10.0,750.0,44707566,44707079,48.0,45.0,702741.0,9000000.0,2007-05-15 19:00:00+00:00,NEEY-E,NEAS Energy A/S,2008-12-31 23:59:59,2008-09-30 23:00:00
570714700000006258,740-083-00785,Bonderupvej 17 V,W,,1993-04-30 00:00:00+00:00,,316,LAND,668334.4,6163178.0,1.0,150.0,44707796,44707111,24.6,32.5,1976850.0,3750000.0,2009-08-16 15:00:00+00:00,NEEY-E,NEAS Energy A/S,9999-01-01 00:00:00,2018-09-30 23:00:00
570714700000012631,740-072-00373,Sdr. Jernløsevej 20 V,W,,1999-11-22 00:00:00+00:00,,316,LAND,665920.1,6169926.0,1.0,660.0,44707220,44707106,47.0,40.0,1749573.0,7920000.0,2006-12-31 13:00:00+00:00,ENDKAT-E,"Energinet.dk, Tab og aftagepligt prod.",2009-11-23 00:00:00,2007-11-15 00:00:00
570714700000012570,740-072-00374,Lysemosevej 1 V,W,,1999-10-18 00:00:00+00:00,,316,LAND,665922.1,6169793.0,1.0,660.0,44707220,44707106,47.0,40.0,1845942.0,7920000.0,2007-01-04 02:00:00+00:00,ENDKAT-E,"Energinet.dk, Tab og aftagepligt prod.",2009-10-18 23:00:00,2007-11-15 00:00:00
570714700000012648,740-072-00375,Sdr. Jernløsevej 20 V,W,,1999-11-29 00:00:00+00:00,,316,LAND,665924.2,6169660.0,1.0,660.0,44707220,44707106,47.0,40.0,1793407.0,7920000.0,,ENDKAT-E,"Energinet.dk prio.prod, øst",2002-12-31 23:59:59,1999-11-01 00:00:00
570714700000013386,740-048-01103,Gl. Skovvej 125 V,W,,2000-11-13 00:00:00+00:00,,316,LAND,665214.6,6171295.0,1.0,660.0,44707220,44707106,47.0,40.0,403407.0,7920000.0,2008-03-13 07:00:00+00:00,ENDKAT-E,"Energinet.dk, Tab og aftagepligt prod.",2010-11-14 00:00:00,2009-03-31 23:00:00
570714700000013393,740-048-01104,Gl. Skovvej 125 V,W,,2000-11-13 00:00:00+00:00,,316,LAND,665192.0,6171149.0,10.0,660.0,44707220,44707106,47.0,40.0,404918.0,7920000.0,2008-02-17 02:00:00+00:00,DANCOM-E,Danske Commodities A/S,2013-03-31 23:00:00,2013-01-01 00:00:00
570714700000013409,740-048-01105,Gl. Skovvej 125 V,W,,2000-11-13 00:00:00+00:00,,316,LAND,665169.4,6171003.0,1.0,660.0,44707220,44707106,47.0,40.0,404940.0,7920000.0,2008-02-27 14:00:00+00:00,ENDKAT-E,"Energinet.dk, Tab og aftagepligt prod.",2010-11-14 00:00:00,2007-11-15 00:00:00
570714700000012327,740-192793,Bedsted Overdrev,W,,1999-04-16 00:00:00+00:00,,329,LAND,682108.719,6145819.539,10.0,750.0,44707566,44707079,44.0,45.0,2601634.0,9000000.0,2006-05-04 14:00:00+00:00,NEEY-E,NEAS Energy A/S,2014-01-01 00:00:00,2013-09-30 23:00:00
570714700000006296,740-086-03007,Sidingevej 45 V,W,,1988-10-31 00:00:00+00:00,,306,LAND,666125.7,6190712.0,1.0,180.0,44707297,44707094,25.0,30.0,4050061.0,4500000.0,2002-11-03 22:00:00+00:00,NEEY-E,NEAS Energy A/S,2011-06-30 22:59:59,2008-01-01 00:00:00
570714700000005138,791-87-7441,Frederiksværk Vindkraft I/S,W,,1997-06-12 00:00:00+00:00,,260,LAND,684890.0,6206649.0,10.0,550.0,44707806,44707113,41.0,42.0,3693727.0,8250000.0,2005-12-05 19:00:00+00:00,EGLNORD-E,Axpo Nordic AG,9999-01-01 00:00:00,2019-06-30 23:00:00
570714700000005121,791-87-7439,Frederiksværk Vindkraft I/S,W,,1997-11-01 00:00:00+00:00,,260,LAND,684797.0,6206754.0,10.0,550.0,44707806,44707113,41.0,42.0,4013038.0,8250000.0,2005-08-28 17:00:00+00:00,ENDKAT-E,"Energinet.dk prio.prod, øst",2006-01-01 00:00:00,2003-01-01 00:00:00
570715000000125669,740-60554412,WHM-B03 (L),W,,2011-09-20 00:00:00+00:00,,316,LAND,662930.0,6183061.0,32.0,2300.0,44707337,44707122,93.0,80.0,0.0,50600000.0,,VFDK-E,Vattenfall Danmark A/S,2014-12-31 23:59:59,2012-03-31 23:00:00
570714700000005114,791-87-7437,Halsnæsholm Vindmøllepark,W,,1997-06-12 00:00:00+00:00,,260,LAND,684704.0,6206858.0,10.0,550.0,44707806,44707113,41.0,42.0,4048533.0,8250000.0,2005-05-07 04:00:00+00:00,DANCOM-E,Danske Commodities A/S,2019-03-31 23:00:00,2019-01-01 00:00:00
570714700000005107,791-87-7435,Hans Erik Sørensen,W,,1997-06-12 00:00:00+00:00,,260,LAND,684608.0,6206962.0,10.0,550.0,44707806,44707113,41.0,42.0,3935654.0,8250000.0,2005-09-14 02:00:00+00:00,MAKDK-E,Markedskraft Danmark A/S,2007-07-31 22:59:59,2007-06-30 23:00:00
570715000000125706,740-60554416,WHM-B04 (N),W,,2011-10-05 00:00:00+00:00,,316,LAND,662571.0,6182687.0,32.0,2300.0,44707337,44707122,93.0,80.0,0.0,50600000.0,,VFDK-E,Vattenfall Danmark A/S,9999-01-01 00:00:00,2016-05-31 23:00:00
570715000000125652,740-60554410,WHM-B02 (K),W,,2011-09-22 00:00:00+00:00,,316,LAND,662560.0,6183036.0,32.0,2300.0,44707337,44707122,93.0,80.0,0.0,50600000.0,,VFDK-E,Vattenfall Danmark A/S,2014-12-31 23:59:59,2012-03-31 23:00:00
570714700000008252,740-165250,GYRSTINGE-ØRSLEVV.MØLLE,W,,1988-12-01 00:00:00+00:00,,329,LAND,671884.571,6151425.848,10.0,200.0,44707614,44707106,25.0,30.0,3921852.0,5000000.0,2006-12-17 12:00:00+00:00,DANCOM-E,Danske Commodities A/S,2019-10-31 23:59:59,2017-09-30 23:00:00
570714700000011900,740-192488,OLE OLSEN,W,,1998-12-16 00:00:00+00:00,,329,LAND,672039.571,6151123.85,10.0,660.0,44707220,44707106,47.0,45.0,2747275.0,7920000.0,,ENDKAT-E,"Energinet.dk prio.prod, øst",2002-12-31 23:59:59,1998-12-01 00:00:00
570715000000125683,740-60554414,WHM-B04 (M),W,,2011-10-03 00:00:00+00:00,,316,LAND,662238.0,6182677.0,32.0,2300.0,44707337,44707122,93.0,80.0,0.0,50600000.0,,VFDK-E,Vattenfall Danmark A/S,2016-05-31 22:59:59,2015-01-01 00:00:00
570715000000125638,740-60554408,WHM-B01 (J),W,,2011-09-24 00:00:00+00:00,,316,LAND,662291.0,6183214.0,32.0,2300.0,44707337,44707122,93.0,80.0,0.0,50600000.0,,VFDK-E,Vattenfall Danmark A/S,2012-03-31 22:59:59,2011-08-31 23:00:00
570714700000013119,740-086-03268,Sidingevej 39 V,W,,2000-07-07 00:00:00+00:00,,306,LAND,665689.5,6192021.9,1.0,660.0,44707220,44707106,47.0,45.0,866251.0,7920000.0,2007-01-26 19:00:00+00:00,ENDKAT-E,"Energinet.dk, Tab og aftagepligt prod.",2010-07-07 23:00:00,2007-11-15 00:00:00
570714700000013188,740-194573,HENRIK HANSEN,W,,2000-03-31 00:00:00+00:00,,329,LAND,680039.556,6145345.889,10.0,660.0,44707246,44707106,47.0,45.0,976607.0,7920000.0,2007-05-08 19:00:00+00:00,ENDKAT-E,"Energinet.dk, Tab og aftagepligt prod.",2010-03-31 23:00:00,2007-11-15 00:00:00
570714700000013898,740-195722,SIMON SIMONSEN,W,,2000-12-22 00:00:00+00:00,,329,LAND,672694.571,6150167.855,10.0,660.0,44707246,44707106,47.0,45.0,313731.0,7920000.0,2007-11-29 21:00:00+00:00,EDK-E,Energi Danmark A/S,9999-01-01 00:00:00,2019-06-30 23:00:00
570714700000013102,740-086-03267,Sidinge 2,W,,2000-08-09 00:00:00+00:00,,306,LAND,665433.3,6191764.0,1.0,660.0,44707220,44707106,47.0,45.0,788385.0,7920000.0,2007-01-31 12:00:00+00:00,ENDKWP-E,"Energinet.dk, Marked vind prod.",2013-12-01 00:00:00,2013-11-01 00:00:00
